Detector,Dataset,Threshold,FAR,FRR,alpha,beta,FAR-alpha,FRR-beta,K_value
SBI,Celeb-DF,0.056,0.0,0.960674,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4513666032984522,0.15288303847688797
SBI,Celeb-DF,0.057,0.0,0.960674,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4513666032984522,0.15288303847688797
SBI,Celeb-DF,0.058,0.0,0.960674,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4513666032984522,0.15288303847688797
SBI,Celeb-DF,0.059,0.0,0.960674,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4513666032984522,0.15288303847688797
SBI,Celeb-DF,0.06,0.0,0.960674,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4513666032984522,0.15288303847688797
SBI,Celeb-DF,0.061,0.0,0.960674,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4513666032984522,0.15288303847688797
SBI,Celeb-DF,0.062,0.0,0.960674,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4513666032984522,0.15288303847688797
SBI,Celeb-DF,0.063,0.0,0.960674,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4513666032984522,0.15288303847688797
SBI,Celeb-DF,0.064,0.0,0.960674,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4513666032984522,0.15288303847688797
SBI,Celeb-DF,0.065,0.0,0.960674,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4513666032984522,0.15288303847688797
SBI,Celeb-DF,0.066,0.0,0.955056,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4457486032984523,0.15229125352868042
SBI,Celeb-DF,0.067,0.0,0.949438,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4401306032984522,0.15169946858047284
SBI,Celeb-DF,0.068,0.0,0.949438,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4401306032984522,0.15169946858047284
SBI,Celeb-DF,0.069,0.0,0.949438,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4401306032984522,0.15169946858047284
SBI,Celeb-DF,0.07,0.0,0.94382,-0.10533729943174792,-0.49069260329845227,0.10533729943174792,1.4345126032984523,0.1511076836322653
SBI,Celeb-DF,0.071,0.002941,0.94382,-0.10533729943174792,-0.49069260329845227,0.10827829943174792,1.4345126032984523,0.15532658519856604
SBI,Celeb-DF,0.072,0.002941,0.938202,-0.10533729943174792,-0.49069260329845227,0.10827829943174792,1.4288946032984522,0.15471827771235847
SBI,Celeb-DF,0.073,0.002941,0.938202,-0.10533729943174792,-0.49069260329845227,0.10827829943174792,1.4288946032984522,0.15471827771235847
SBI,Celeb-DF,0.074,0.002941,0.938202,-0.10533729943174792,-0.49069260329845227,0.10827829943174792,1.4288946032984522,0.15471827771235847
SBI,Celeb-DF,0.075,0.002941,0.938202,-0.10533729943174792,-0.49069260329845227,0.10827829943174792,1.4288946032984522,0.15471827771235847
SBI,Celeb-DF,0.076,0.002941,0.932584,-0.10533729943174792,-0.49069260329845227,0.10827829943174792,1.4232766032984523,0.15410997022615092
